Open,High,Low,Close,Adj Close,Volume
10585.2900390625,10700.8603515625,10580.919921875,10699.8203125,10699.8203125,55983600
10652.7802734375,10675.6201171875,10548.48046875,10665.41015625,10665.41015625,51779100
10714.23046875,10747.1904296875,10655.2900390625,10686.7998046875,10686.7998046875,65947700
10628.08984375,10681.400390625,10616.6298828125,10652.16015625,10652.16015625,59629500
10721.8701171875,10744.919921875,10645.8203125,10650.9697265625,10650.9697265625,53942900
10678.41015625,10688.7001953125,10638.9404296875,10639.490234375,10639.490234375,50655200
10645.2998046875,10680.4697265625,10592.400390625,10622.41015625,10622.41015625,48635900
10616.6201171875,10655.8203125,10536.2802734375,10655.8203125,10655.8203125,64275700
10656.3095703125,10691.3701171875,10620.349609375,10670.740234375,10670.740234375,59856300
10687.2099609375,10693.51953125,10639.6298828125,10693.51953125,10693.51953125,48681500
10723.7001953125,10849.2900390625,10715.919921875,10841.8203125,10841.8203125,71403400
10844.1103515625,10867.16015625,10835.3095703125,10846.2900390625,10846.2900390625,44762500
10825.919921875,10884.509765625,10767.5400390625,10884.509765625,10884.509765625,87421800
10907.16015625,10960.75,10893.2802734375,10895.0703125,10895.0703125,67115300
10889.0595703125,10905.4296875,10798.6201171875,10813.9404296875,10813.9404296875,62666500
10865.9599609375,10913.2001953125,10845.6904296875,10849.75,10849.75,56103300
10762.6201171875,10780.919921875,10639.75,10675.9599609375,10675.9599609375,70880100
10729.66015625,10789.169921875,10662.0703125,10781.98046875,10781.98046875,61402100
10795.4599609375,10880.4404296875,10772.6298828125,10859.8798828125,10859.8798828125,54346500
10805.490234375,10812.6396484375,10716.490234375,10748.919921875,10748.919921875,65632500
10814.2802734375,10815.6201171875,10616.8095703125,10627.8798828125,10627.8798828125,70815000
10650.01953125,10694.759765625,10598.1201171875,10664.9501953125,10664.9501953125,51976700
10707.4404296875,10800.6396484375,10693.3203125,10800.6396484375,10800.6396484375,59234000
10789.7197265625,11006.7197265625,10781.5703125,10994.150390625,10994.150390625,84395500
11040.169921875,11061.1796875,10979.8203125,11012.3603515625,11012.3603515625,62980000
10995.650390625,11015.6103515625,10958.4501953125,11001.5302734375,11001.5302734375,83740300
10968.1396484375,11039.7802734375,10963.51953125,11039.7802734375,11039.7802734375,51327200
11079.7802734375,11114.3896484375,11071.5703125,11101.169921875,11101.169921875,57263500
11094.009765625,11119.8896484375,11074.5595703125,11089.240234375,11089.240234375,59034500
11071.3896484375,11092.349609375,11008.509765625,11092.349609375,11092.349609375,79169100
11105.6103515625,11152.5703125,11078.9501953125,11128.8095703125,11128.8095703125,54159800
11156.240234375,11180.98046875,11136.3603515625,11168.4501953125,11168.4501953125,37288000
11094.8701171875,11178.650390625,11094.08984375,11146.2802734375,11146.2802734375,51959000
11189.8095703125,11264.330078125,11173.66015625,11263.009765625,11263.009765625,58003500
11255.66015625,11270.0,11154.5302734375,11154.5302734375,11154.5302734375,93014600
11108.26953125,11172.4404296875,11057.5302734375,11110.7802734375,11110.7802734375,106251300
11086.0,11086.849609375,10650.0703125,10712.83984375,10712.83984375,126829400
10749.58984375,10779.150390625,10467.2099609375,10478.509765625,10478.509765625,102515000
10405.2998046875,10546.669921875,10216.5498046875,10512.150390625,10512.150390625,114156000
10456.8203125,10461.169921875,10094.919921875,10205.4599609375,10205.4599609375,144743200
10205.4599609375,10205.4599609375,9725.3203125,9831.0302734375,9831.0302734375,183600400
