Date,High,Low,Open,Close,Volume,Adj Close
2019-04-10,9581.6904296875,9524.2900390625,9558.1904296875,9556.3095703125,57050800.0,9556.3095703125
2019-04-11,9597.3798828125,9522.01953125,9543.259765625,9549.259765625,59997500.0,9549.259765625
2019-04-12,9548.9404296875,9442.6103515625,9535.3798828125,9484.91015625,83929500.0,9484.91015625
2019-04-15,9539.9501953125,9461.1904296875,9462.0498046875,9513.7099609375,60089700.0,9513.7099609375
2019-04-16,9595.9697265625,9530.4501953125,9533.75,9579.849609375,62801800.0,9579.849609375
2019-04-17,9628.41015625,9571.08984375,9601.23046875,9596.599609375,91309900.0,9596.599609375
2019-04-18,9623.1298828125,9543.1396484375,9616.98046875,9571.2197265625,71898700.0,9571.2197265625
2019-04-23,9653.8798828125,9542.9501953125,9563.8095703125,9635.0703125,66495200.0,9635.0703125
2019-04-24,9704.5302734375,9646.759765625,9672.3603515625,9655.669921875,67916300.0,9655.669921875
2019-04-25,9695.4501953125,9644.7197265625,9695.16015625,9694.0595703125,65882400.0,9694.0595703125
2019-04-26,9724.26953125,9675.919921875,9710.2001953125,9724.26953125,49815000.0,9724.26953125
2019-04-29,9752.919921875,9701.83984375,9719.0498046875,9740.48046875,51493600.0,9740.48046875
2019-04-30,9785.5703125,9741.66015625,9744.259765625,9769.740234375,60735100.0,9769.740234375
2019-05-02,9784.26953125,9745.4404296875,9777.900390625,9746.0595703125,61245900.0,9746.0595703125
2019-05-03,9786.509765625,9731.48046875,9737.8896484375,9741.990234375,59121300.0,9741.990234375
2019-05-06,9657.240234375,9560.849609375,9619.2197265625,9657.240234375,56403600.0,9657.240234375
2019-05-07,9685.58984375,9562.9501953125,9658.1396484375,9577.3798828125,55908000.0,9577.3798828125
2019-05-08,9628.66015625,9536.240234375,9567.0400390625,9621.9599609375,49270900.0,9621.9599609375
2019-05-09,9592.3798828125,9422.3701171875,9592.3798828125,9430.2998046875,72926100.0,9430.2998046875
2019-05-10,9545.0595703125,9451.1796875,9515.3798828125,9472.830078125,54576200.0,9472.830078125
2019-05-13,9475.5703125,9319.990234375,9475.5302734375,9363.1796875,65223900.0,9363.1796875
2019-05-14,9429.41015625,9363.759765625,9413.6904296875,9404.080078125,48248400.0,9404.080078125
2019-05-15,9480.759765625,9361.3896484375,9428.8095703125,9480.759765625,58888300.0,9480.759765625
2019-05-16,9660.58984375,9467.8798828125,9492.2099609375,9660.58984375,61698600.0,9660.58984375
2019-05-17,9671.16015625,9600.9599609375,9631.1103515625,9659.080078125,57235600.0,9659.080078125
2019-05-20,9666.3896484375,9536.0400390625,9641.16015625,9582.080078125,50797700.0,9582.080078125
2019-05-21,9636.2099609375,9594.5,9621.01953125,9624.16015625,40549800.0,9624.16015625
2019-05-22,9649.76953125,9563.5400390625,9610.0498046875,9645.0400390625,42937800.0,9645.0400390625
2019-05-23,9623.599609375,9563.7197265625,9609.51953125,9594.3095703125,59957200.0,9594.3095703125
2019-05-24,9688.8603515625,9619.599609375,9620.900390625,9666.8896484375,40656100.0,9666.8896484375
2019-05-27,9754.5302734375,9710.3701171875,9723.1298828125,9712.9599609375,25284500.0,9712.9599609375
2019-05-28,9721.009765625,9643.4697265625,9714.91015625,9680.8701171875,60624800.0,9680.8701171875
2019-05-29,9606.900390625,9530.330078125,9602.2197265625,9541.9697265625,55799200.0,9541.9697265625
2019-05-31,9544.099609375,9463.6298828125,9510.9599609375,9523.98046875,58232700.0,9523.98046875
2019-06-03,9602.73046875,9439.0595703125,9466.0400390625,9602.73046875,56935900.0,9602.73046875
2019-06-04,9646.33984375,9553.66015625,9558.759765625,9597.7099609375,63097700.0,9597.7099609375
2019-06-05,9672.8203125,9579.4296875,9582.330078125,9658.6201171875,49675300.0,9658.6201171875
2019-06-06,9757.8095703125,9665.91015625,9666.9599609375,9682.2900390625,47576600.0,9682.2900390625
2019-06-07,9781.3896484375,9686.2197265625,9716.98046875,9749.1298828125,46683400.0,9749.1298828125
2019-06-11,9871.4404296875,9763.9599609375,9764.1201171875,9835.8701171875,57566600.0,9835.8701171875
2019-06-12,9882.400390625,9778.3896484375,9785.4697265625,9859.73046875,49192100.0,9859.73046875
2019-06-13,9906.76953125,9841.2998046875,9845.6904296875,9861.830078125,41441900.0,9861.830078125
2019-06-14,9861.759765625,9808.5302734375,9825.2197265625,9847.6103515625,47055100.0,9847.6103515625
2019-06-17,9874.6298828125,9819.4697265625,9867.099609375,9851.5703125,38300700.0,9851.5703125
2019-06-18,10011.3896484375,9815.75,9839.4404296875,9988.5498046875,62435200.0,9988.5498046875
2019-06-19,9979.6201171875,9935.169921875,9969.2900390625,9961.650390625,46132100.0,9961.650390625
2019-06-20,10062.650390625,9978.33984375,10015.6904296875,9978.51953125,58971000.0,9978.51953125
2019-06-21,9990.240234375,9915.6201171875,9970.5,9922.830078125,109659100.0,9922.830078125
2019-06-24,9973.5498046875,9884.669921875,9951.4404296875,9898.849609375,51788200.0,9898.849609375
2019-06-25,9939.4296875,9869.01953125,9871.7802734375,9898.900390625,43607800.0,9898.900390625
2019-06-26,9916.580078125,9835.6103515625,9861.7802734375,9838.1298828125,48162900.0,9838.1298828125
2019-06-27,9889.9697265625,9822.740234375,9846.8701171875,9859.759765625,51520400.0,9859.759765625
2019-06-28,9901.5703125,9817.7197265625,9840.2001953125,9898.240234375,46793000.0,9898.240234375
2019-07-01,10022.8896484375,9955.5,9990.9404296875,9970.0,58318700.0,9970.0
2019-07-02,10055.0400390625,9978.9404296875,9982.51953125,10020.9296875,55489100.0,10020.9296875
2019-07-03,10091.48046875,10027.509765625,10030.7900390625,10066.5302734375,51988800.0,10066.5302734375
2019-07-04,10087.83984375,10047.7900390625,10080.4501953125,10066.48046875,35178900.0,10066.48046875
2019-07-05,10071.7001953125,9968.2099609375,10071.7001953125,9980.2197265625,65809600.0,9980.2197265625
2019-07-08,9996.8798828125,9944.990234375,9948.759765625,9994.099609375,52184500.0,9994.099609375
2019-07-09,9983.240234375,9908.9697265625,9974.0498046875,9961.33984375,60658600.0,9961.33984375
2019-07-10,10003.6396484375,9905.509765625,9927.490234375,9937.5595703125,89053800.0,9937.5595703125
2019-07-11,9956.8798828125,9866.5498046875,9942.830078125,9879.5302734375,59856600.0,9879.5302734375
2019-07-12,9886.3798828125,9762.1103515625,9870.509765625,9762.98046875,94546800.0,9762.98046875
2019-07-15,9828.2802734375,9733.490234375,9769.23046875,9808.580078125,51699600.0,9808.580078125
2019-07-16,9869.240234375,9804.08984375,9805.830078125,9850.51953125,62131000.0,9850.51953125
2019-07-17,9995.3603515625,9862.01953125,9862.0302734375,9942.009765625,61604400.0,9942.009765625
2019-07-18,10041.8603515625,9898.0,9912.1103515625,10010.150390625,66181300.0,10010.150390625
2019-07-19,10048.3896484375,9920.0595703125,10042.0498046875,9937.0302734375,55910400.0,9937.0302734375
2019-07-22,9952.16015625,9899.3798828125,9926.1796875,9922.3701171875,45152600.0,9922.3701171875
2019-07-23,9998.8203125,9930.4501953125,9965.8203125,9965.150390625,67588500.0,9965.150390625
2019-07-24,9976.1103515625,9875.3603515625,9973.8701171875,9907.6796875,85622400.0,9907.6796875
2019-07-25,10015.3203125,9847.3203125,9944.8095703125,9877.0302734375,89753600.0,9877.0302734375
2019-07-26,10001.66015625,9881.009765625,9886.669921875,9968.080078125,69659300.0,9968.080078125
2019-07-29,10000.5498046875,9916.3603515625,9936.0302734375,9970.8701171875,50418000.0,9970.8701171875
2019-07-30,9972.1201171875,9842.58984375,9963.1103515625,9890.900390625,74812200.0,9890.900390625
2019-07-31,9958.009765625,9863.9599609375,9885.75,9919.26953125,81022300.0,9919.26953125
2019-08-02,9873.400390625,9743.830078125,9767.7900390625,9803.6904296875,115259400.0,9803.6904296875
2019-08-05,9739.4697265625,9563.48046875,9714.7900390625,9599.4296875,78247900.0,9599.4296875
2019-08-06,9650.66015625,9549.080078125,9565.6103515625,9553.8798828125,74908800.0,9553.8798828125
2019-08-07,9651.6904296875,9464.41015625,9549.9296875,9533.98046875,91392700.0,9533.98046875
2019-08-08,9757.419921875,9626.98046875,9656.0302734375,9751.5498046875,67014600.0,9751.5498046875
2019-08-09,9804.7001953125,9728.7900390625,9745.0302734375,9749.919921875,63210100.0,9749.919921875
2019-08-12,9862.9697265625,9747.7900390625,9801.7001953125,9760.01953125,75375200.0,9760.01953125
2019-08-13,9827.73046875,9641.25,9729.509765625,9786.240234375,92342000.0,9786.240234375
2019-08-14,9806.5,9599.6201171875,9801.9697265625,9628.48046875,99175200.0,9628.48046875
2019-08-15,9667.3896484375,9515.400390625,9654.23046875,9606.259765625,84930700.0,9606.259765625
2019-08-16,9744.4599609375,9630.9697265625,9637.25,9728.3896484375,68603400.0,9728.3896484375
2019-08-19,9856.330078125,9771.6396484375,9783.330078125,9825.58984375,58721900.0,9825.58984375
2019-08-20,9861.8701171875,9768.349609375,9817.349609375,9770.3896484375,54904100.0,9770.3896484375
2019-08-21,9883.080078125,9782.330078125,9782.419921875,9848.1103515625,47887800.0,9848.1103515625
2019-08-22,9869.7900390625,9774.330078125,9827.6103515625,9805.5,49056400.0,9805.5
2019-08-23,9882.25,9735.2900390625,9842.48046875,9744.98046875,51072000.0,9744.98046875
2019-08-26,9768.349609375,9658.0,9724.0,9715.830078125,43437800.0,9715.830078125
2019-08-27,9798.1796875,9685.6904296875,9707.099609375,9786.080078125,53515900.0,9786.080078125
2019-08-28,9772.7099609375,9670.26953125,9761.2099609375,9758.1904296875,46500600.0,9758.1904296875
2019-08-29,9848.7099609375,9728.7900390625,9736.2197265625,9838.48046875,51929000.0,9838.48046875
2019-08-30,9941.330078125,9861.3798828125,9868.76953125,9895.650390625,67185200.0,9895.650390625
2019-09-02,9957.150390625,9894.9404296875,9903.9404296875,9924.5400390625,37356900.0,9924.5400390625
2019-09-03,9900.8798828125,9829.2802734375,9886.2197265625,9852.7001953125,49669200.0,9852.7001953125
2019-09-04,9980.1396484375,9893.98046875,9934.8701171875,9894.599609375,52317100.0,9894.599609375
2019-09-05,10016.26953125,9897.9599609375,9942.91015625,9983.0703125,72389200.0,9983.0703125
2019-09-06,10076.4697265625,9983.4599609375,9993.98046875,10073.8203125,59429100.0,10073.8203125
2019-09-09,10109.2900390625,10050.6796875,10093.6396484375,10059.3701171875,64357000.0,10059.3701171875
2019-09-10,10031.5,9956.1103515625,10024.849609375,10020.48046875,125275600.0,10020.48046875
2019-09-11,10098.9296875,10041.990234375,10064.33984375,10098.58984375,79403300.0,10098.58984375
2019-09-12,10140.9296875,10057.1201171875,10105.169921875,10094.08984375,81372000.0,10094.08984375
2019-09-13,10131.1298828125,10033.330078125,10130.4501953125,10047.33984375,72238900.0,10047.33984375
2019-09-16,10012.66015625,9964.1103515625,9965.1396484375,9969.1904296875,61278000.0,9969.1904296875
2019-09-17,10025.01953125,9944.599609375,9960.900390625,10013.8203125,61007400.0,10013.8203125
2019-09-18,10037.9697265625,9982.240234375,9982.4697265625,10018.83984375,51719600.0,10018.83984375
2019-09-19,10070.6396484375,9993.9296875,10022.330078125,10064.4599609375,65290500.0,10064.4599609375
